rank,pnl_train,pnl_val,pnl_test,wr_train,wr_val,wr_test,trades_train,trades_val,trades_test,entry_mode,strong_candle_pct,rsi_long_max,rsi_short_min,cooldown,adx_min,trail_activation_pct,trail_pullback_pct,stop_loss_pct,long_only
1,346.13,-46.78,155.42,0.4943,0.4061,0.5024,441,261,205,macd_only,0.6,65,40,6,0.0,5.0,0.5,4.0,False
2,349.61,-44.53,142.45,0.5000,0.4008,0.4925,422,247,201,macd_only,0.6,65,30,6,15.0,5.0,0.5,4.0,False
3,344.93,-60.94,133.04,0.4943,0.4000,0.4879,441,265,207,macd_only,0.6,65,35,6,0.0,5.0,0.5,4.0,False
4,362.94,-55.51,126.06,0.4989,0.4030,0.4831,441,263,207,macd_only,0.6,65,30,6,0.0,5.0,0.5,4.0,False
5,386.16,-41.41,116.49,0.5107,0.4008,0.4778,421,247,203,macd_only,0.6,65,25,6,15.0,5.0,0.5,4.0,False
6,349.85,-59.71,114.06,0.5000,0.3975,0.4778,424,239,203,macd_only,0.6,60,30,6,15.0,5.0,0.5,4.0,False
7,371.61,2.69,110.46,0.5048,0.4195,0.4772,420,236,197,macd_only,0.6,65,30,8,15.0,5.0,0.5,4.0,False
8,359.17,-69.97,107.80,0.4977,0.4000,0.4737,444,255,209,macd_only,0.6,60,30,6,0.0,5.0,0.5,4.0,False
9,389.14,5.81,106.37,0.5120,0.4195,0.4747,418,236,198,macd_only,0.6,65,25,8,15.0,5.0,0.5,4.0,False
10,375.27,-30.89,101.55,0.5059,0.4049,0.4706,423,247,204,macd_only,0.6,75,25,6,15.0,5.0,0.5,4.0,False
11,357.67,-34.11,101.34,0.4977,0.4120,0.4732,440,250,205,macd_only,0.6,60,35,8,0.0,5.0,0.5,4.0,False
12,399.95,-52.39,100.10,0.5091,0.4030,0.4689,440,263,209,macd_only,0.6,65,25,6,0.0,5.0,0.5,4.0,False
13,363.43,-1.17,94.55,0.5000,0.4170,0.4694,422,235,196,macd_only,0.6,75,30,8,15.0,5.0,0.5,4.0,False
14,374.06,-3.34,94.07,0.5011,0.4223,0.4680,437,251,203,macd_only,0.6,65,30,8,0.0,5.0,0.5,4.0,False
15,352.95,-1.17,90.55,0.4988,0.4170,0.4670,419,235,197,macd_only,0.6,70,30,8,15.0,5.0,0.5,4.0,False
16,380.95,1.95,90.45,0.5071,0.4170,0.4670,420,235,197,macd_only,0.6,75,25,8,15.0,5.0,0.5,4.0,False
