rank,pnl_train,pnl_val,pnl_test,wr_train,wr_val,wr_test,trades_train,trades_val,trades_test,entry_mode,strong_candle_pct,rsi_long_max,rsi_short_min,cooldown,adx_min,trail_activation_pct,trail_pullback_pct,stop_loss_pct,long_only
1,252.07,29.56,53.75,0.2420,0.1815,0.2105,500,259,247,macd_only,0.6,65,25,6,10.0,5.0,0.3,1.2,True
2,252.84,38.62,51.35,0.2402,0.1870,0.2088,512,262,249,macd_only,0.6,65,25,6,0.0,5.0,0.3,1.2,True
3,250.44,50.43,44.65,0.2929,0.2443,0.2659,495,262,252,macd_only,0.6,65,25,6,0.0,4.5,0.3,1.5,True
4,249.37,27.78,43.73,0.3925,0.3264,0.3607,428,242,219,macd_only,0.6,65,25,6,0.0,4.5,0.3,2.5,True
5,253.44,52.23,41.86,0.2385,0.1942,0.2023,524,278,262,macd_only,0.6,68,25,5,10.0,5.0,0.3,1.2,True
6,262.49,40.77,40.55,0.2418,0.1875,0.2016,517,272,258,macd_only,0.6,68,25,6,10.0,5.0,0.3,1.2,True
7,257.40,13.87,40.12,0.2773,0.2070,0.2387,476,256,243,macd_only,0.6,65,25,6,10.0,5.0,0.3,1.5,True
8,250.58,78.53,39.60,0.2551,0.2250,0.2230,541,280,269,macd_only,0.6,70,25,6,0.0,4.5,0.3,1.2,True
9,254.21,61.29,39.46,0.2369,0.1993,0.2008,536,281,264,macd_only,0.6,68,25,5,0.0,5.0,0.3,1.2,True
10,262.97,51.03,38.96,0.2405,0.1935,0.1992,528,279,266,macd_only,0.6,70,25,5,10.0,5.0,0.3,1.2,True
11,257.71,22.63,38.62,0.2757,0.2124,0.2377,486,259,244,macd_only,0.6,65,25,6,0.0,5.0,0.3,1.5,True
12,263.26,49.83,38.15,0.2401,0.1927,0.2000,529,275,260,macd_only,0.6,68,25,6,0.0,5.0,0.3,1.2,True
13,276.93,39.57,37.64,0.2452,0.1868,0.1985,522,273,262,macd_only,0.6,70,25,6,10.0,5.0,0.3,1.2,True
14,263.75,60.09,36.56,0.2389,0.1986,0.1978,540,282,268,macd_only,0.6,70,25,5,0.0,5.0,0.3,1.2,True
15,249.63,2.61,36.14,0.3714,0.2954,0.3286,412,237,213,macd_only,0.6,65,25,6,0.0,5.0,0.3,2.5,True
16,277.71,48.63,35.24,0.2434,0.1920,0.1970,534,276,264,macd_only,0.6,70,25,6,0.0,5.0,0.3,1.2,True
17,249.49,45.29,33.35,0.2405,0.1935,0.1992,528,279,266,macd_only,0.6,70,25,5,10.0,5.0,0.4,1.2,True
18,249.78,44.20,32.64,0.2401,0.1927,0.2000,529,275,260,macd_only,0.6,68,25,6,0.0,5.0,0.4,1.2,True
19,263.34,34.15,32.14,0.2452,0.1868,0.1985,522,273,262,macd_only,0.6,70,25,6,10.0,5.0,0.4,1.2,True
20,255.87,46.23,31.76,0.2375,0.1908,0.1949,539,283,272,macd_only,0.6,70,25,4,10.0,5.0,0.3,1.2,True
