rank,pnl_train,pnl_val,pnl_test,wr_train,wr_val,wr_test,trades_train,trades_val,trades_test,swing_window,range_window,range_width_min_pct,range_width_max_pct,signal_proximity_pct,momentum_lookback,momentum_threshold,trail_activation_pct,trail_pullback_pct,stop_loss_pct,signal_cooldown,volume_filter,candle_confirm,rsi_filter
1,181.67,37.60,61.33,0.6328,0.5833,0.5926,128,24,54,12,60,1.5,10.0,2.0,10,7.0,3.5,0.5,2.0,8,False,False,False
2,181.67,37.60,61.33,0.6328,0.5833,0.5926,128,24,54,12,60,2.0,10.0,2.0,10,7.0,3.5,0.5,2.0,8,False,False,False
3,181.44,37.60,61.33,0.6328,0.5833,0.5926,128,24,54,12,60,1.5,10.0,2.0,14,7.0,3.5,0.5,2.0,8,False,False,False
4,181.44,37.60,61.33,0.6328,0.5833,0.5926,128,24,54,12,60,2.0,10.0,2.0,14,7.0,3.5,0.5,2.0,8,False,False,False
5,181.67,35.60,61.33,0.6328,0.5600,0.5926,128,25,54,12,60,1.5,10.0,2.0,8,7.0,3.5,0.5,2.0,8,False,False,False
6,181.67,35.60,61.33,0.6328,0.5600,0.5926,128,25,54,12,60,2.0,10.0,2.0,8,7.0,3.5,0.5,2.0,8,False,False,False
7,184.69,23.87,61.06,0.5634,0.4118,0.5098,142,51,51,10,48,1.5,10.0,2.0,10,7.0,3.5,0.5,1.5,8,False,False,False
8,184.69,23.87,61.06,0.5634,0.4118,0.5098,142,51,51,10,48,1.5,10.0,2.0,14,7.0,3.5,0.5,1.5,8,False,False,False
9,184.69,23.87,61.06,0.5634,0.4118,0.5098,142,51,51,10,48,2.0,10.0,2.0,10,7.0,3.5,0.5,1.5,8,False,False,False
10,184.69,23.87,61.06,0.5634,0.4118,0.5098,142,51,51,10,48,2.0,10.0,2.0,14,7.0,3.5,0.5,1.5,8,False,False,False
11,184.69,22.37,61.06,0.5634,0.4038,0.5098,142,52,51,10,48,1.5,10.0,2.0,8,7.0,3.5,0.5,1.5,8,False,False,False
12,184.69,22.37,61.06,0.5634,0.4038,0.5098,142,52,51,10,48,2.0,10.0,2.0,8,7.0,3.5,0.5,1.5,8,False,False,False
13,182.38,20.48,61.06,0.5643,0.4000,0.5098,140,50,51,10,48,1.5,10.0,2.0,10,5.0,3.5,0.5,1.5,8,False,False,False
14,182.38,20.48,61.06,0.5643,0.4000,0.5098,140,50,51,10,48,2.0,10.0,2.0,10,5.0,3.5,0.5,1.5,8,False,False,False
15,180.02,35.60,60.04,0.6328,0.5600,0.5962,128,25,52,12,60,1.5,10.0,2.0,8,5.0,3.5,0.5,2.0,8,False,False,False
16,180.02,35.60,60.04,0.6328,0.5600,0.5962,128,25,52,12,60,2.0,10.0,2.0,8,5.0,3.5,0.5,2.0,8,False,False,False
17,181.33,25.37,58.87,0.5643,0.4200,0.5102,140,50,49,10,48,1.5,10.0,2.0,14,5.0,3.5,0.5,1.5,8,False,False,False
18,181.33,25.37,58.87,0.5643,0.4200,0.5102,140,50,49,10,48,2.0,10.0,2.0,14,5.0,3.5,0.5,1.5,8,False,False,False
19,191.36,29.62,58.45,0.5556,0.4259,0.4821,153,54,56,10,48,1.5,12.0,2.0,14,7.0,3.5,0.5,1.5,8,False,False,False
20,191.36,29.62,58.45,0.5556,0.4259,0.4821,153,54,56,10,48,2.0,12.0,2.0,14,7.0,3.5,0.5,1.5,8,False,False,False
21,189.86,29.62,58.45,0.5519,0.4259,0.4821,154,54,56,10,48,1.5,12.0,2.0,10,7.0,3.5,0.5,1.5,8,False,False,False
22,189.86,29.62,58.45,0.5519,0.4259,0.4821,154,54,56,10,48,2.0,12.0,2.0,10,7.0,3.5,0.5,1.5,8,False,False,False
23,180.99,29.62,58.45,0.5510,0.4259,0.4821,147,54,56,10,48,3.0,12.0,2.0,14,7.0,3.5,0.5,1.5,8,False,False,False
24,188.36,28.12,58.45,0.5484,0.4182,0.4821,155,55,56,10,48,1.5,12.0,2.0,8,7.0,3.5,0.5,1.5,8,False,False,False
25,188.36,28.12,58.45,0.5484,0.4182,0.4821,155,55,56,10,48,2.0,12.0,2.0,8,7.0,3.5,0.5,1.5,8,False,False,False
26,187.55,26.24,58.45,0.5526,0.4151,0.4821,152,53,56,10,48,1.5,12.0,2.0,10,5.0,3.5,0.5,1.5,8,False,False,False
27,187.55,26.24,58.45,0.5526,0.4151,0.4821,152,53,56,10,48,2.0,12.0,2.0,10,5.0,3.5,0.5,1.5,8,False,False,False
28,189.50,31.12,56.26,0.5600,0.4340,0.4815,150,53,54,10,48,1.5,12.0,2.0,14,5.0,3.5,0.5,1.5,8,False,False,False
